发布日期,岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
2022-01-01,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、财务报表、Excel等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,18046,28692
2022-01-01,人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、招聘、培训等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,博士,12568,21179
2022-01-02,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,10681,17156
2022-01-02,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉TypeScript、React、CSS等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,硕士,16998,27400
2022-01-02,销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉销售、商务谈判、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,硕士,12860,23334
2022-01-03,运营专员,分析运营数据，优化运营策略和流程。要求熟悉运营、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,博士,9813,16702
2022-01-03,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉UI设计、用户体验、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,16893,27557
2022-01-03,前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉JavaScript、HTML、Vue等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,大专,11251,18868
2022-01-04,测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,8144,14590
2022-01-05,数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Python、TensorFlow、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,硕士,20199,35910
2022-01-06,测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉缺陷管理、测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,硕士,17198,29576
2022-01-07,项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉进度控制、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,硕士,17622,30976
2022-01-07,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉数据结构、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,本科,12567,21430
2022-01-08,全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MySQL、MongoDB、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,本科,11838,19931
2022-01-08,财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、财务分析、Excel等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,大专,11160,17629
2022-01-10,技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉客户沟通、问题排查、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,本科,7549,13409
2022-01-10,Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Redis、SpringBoot、Java等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,大专,11923,20302
2022-01-10,市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,博士,32004,53857
2022-01-10,运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉K8s、运维、Docker等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,12094,21059
2022-01-11,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、数据结构、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,23883,38385
2022-01-11,财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、财务报表、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,博士,30825,49678
2022-01-11,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、Figma、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,硕士,22868,35365
2022-01-12,财务分析师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉预算编制、Excel、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,硕士,20193,33333
2022-01-12,数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉PyTorch、机器学习、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,22564,36462
2022-01-13,测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,5436,9669
2022-01-13,架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、性能优化、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,本科,4020,6884
2022-01-13,机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉特征工程、机器学习、模型调优等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,25329,39568
2022-01-13,产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉Axure、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,25170,42809
2022-01-14,算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉机器学习、数据结构、Python等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,博士,14967,27294
2022-01-14,机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、模型调优、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,硕士,16831,28352
2022-01-14,技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉问题排查、文档编写、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,本科,16820,28247
2022-01-14,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、数据结构、算法等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,博士,13611,24422
2022-01-15,机器学习工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉模型调优、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,本科,7274,13280
2022-01-15,运营专员,分析运营数据，优化运营策略和流程。要求熟悉运营、活动策划、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,5000,7000
2022-01-15,测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,大专,6785,11590
2022-01-15,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉系统架构、性能优化、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,大专,10024,16147
2022-01-16,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉缺陷管理、自动化测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,硕士,16063,30346
