岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉React、JavaScript、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,本科,12214,20534
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉系统架构、微服务、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,博士,23871,41566
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、机器学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,大专,8734,14571
UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉用户体验、Sketch、Figma等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,大专,8116,12237
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Tableau、SQL、Excel等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,9215,14847
销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉业绩目标、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,大专,6270,10980
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、绩效考核、招聘等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,硕士,14503,22490
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Spring、Java、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,9604,15927
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉Axure、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,本科,10131,18003
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉需求分析、数据分析、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,10604,17784
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,本科,7768,13288
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉渠道拓展、市场营销、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,大专,8405,14933
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,本科,5450,8970
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉进度控制、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,17912,35537
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉CSS、TypeScript、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,本科,7436,14508
人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、绩效考核、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,博士,10190,17534
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、系统架构、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,大专,6977,12865
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、Flask、Django等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,本科,8075,13707
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Python、Tableau、SQL等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,大专,6517,10895
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉React、JavaScript、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,本科,6394,12154
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉缺陷管理、性能测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,本科,16218,26048
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉数据分析、需求分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,26252,45951
运营专员,分析运营数据，优化运营策略和流程。要求熟悉用户增长、运营、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,博士,9262,15382
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、数据结构、算法等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,大专,7260,13814
前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉JavaScript、Vue、CSS等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,本科,6093,10880
运维工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉监控、Linux、Docker等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,17687,30359
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉风险控制、项目管理、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,11261,20976
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、MongoDB、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,硕士,10582,17904
