订单ID,订单日期,用户ID,商品ID,商品名称,商品类别,单价,数量,总价,支付方式
ORD000001,2024-01-05,USER001,PROD001,iPhone 15 Pro,手机数码,7999,1,7999,支付宝
ORD000002,2024-01-06,USER002,PROD002,MacBook Pro 14,电脑办公,14999,1,14999,微信
ORD000003,2024-01-07,USER003,PROD003,AirPods Pro 2,手机数码,1899,2,3798,支付宝
ORD000004,2024-01-08,USER001,PROD004,Apple Watch Series 9,手机数码,3299,1,3299,微信
ORD000005,2024-01-09,USER004,PROD005,iPad Air 5,电脑办公,4799,1,4799,支付宝
ORD000006,2024-01-10,USER005,PROD006,小米14,手机数码,4999,1,4999,微信
ORD000007,2024-01-11,USER002,PROD007,华为Mate 60 Pro,手机数码,6999,1,6999,支付宝
ORD000008,2024-01-12,USER006,PROD008,联想ThinkPad X1,电脑办公,12999,1,12999,微信
ORD000009,2024-01-13,USER007,PROD009,索尼WH-1000XM5,手机数码,2499,1,2499,支付宝
ORD000010,2024-01-14,USER003,PROD010,戴尔XPS 15,电脑办公,13999,1,13999,微信
ORD000011,2024-01-15,USER008,PROD011,三星Galaxy S24,手机数码,5999,1,5999,支付宝
ORD000012,2024-01-16,USER009,PROD012,荣耀Magic 6 Pro,手机数码,5499,1,5499,微信
ORD000013,2024-01-17,USER010,PROD013,华硕ROG游戏本,电脑办公,15999,1,15999,支付宝
ORD000014,2024-01-18,USER001,PROD014,Bose QuietComfort,手机数码,2299,1,2299,微信
ORD000015,2024-01-19,USER004,PROD015,OPPO Find X7,手机数码,5999,1,5999,支付宝
ORD000016,2024-02-01,USER002,PROD001,iPhone 15 Pro,手机数码,7999,1,7999,微信
ORD000017,2024-02-02,USER011,PROD016,vivo X100 Pro,手机数码,4999,1,4999,支付宝
ORD000018,2024-02-03,USER012,PROD017,惠普暗影精灵9,电脑办公,8999,1,8999,微信
ORD000019,2024-02-04,USER005,PROD018,realme GT 5 Pro,手机数码,3599,1,3599,支付宝
ORD000020,2024-02-05,USER013,PROD019,一加12,手机数码,4299,1,4299,微信
ORD000021,2024-02-06,USER003,PROD020,iQOO 12 Pro,手机数码,4999,1,4999,支付宝
ORD000022,2024-02-07,USER014,PROD021,红米K70 Pro,手机数码,3299,2,6598,微信
ORD000023,2024-02-08,USER015,PROD022,拯救者Y9000P,电脑办公,9999,1,9999,支付宝
ORD000024,2024-02-09,USER016,PROD023,外星人m18,电脑办公,24999,1,24999,微信
