merchant,amount,date,time,location
肯德基(北京店),45.50,2024-01-05,12:30:00,北京
滴滴快车,28.00,2024-01-05,08:15:00,北京
星巴克咖啡,36.00,2024-01-06,09:00:00,上海
淘宝购物,299.00,2024-01-06,14:20:00,
海底捞火锅,358.00,2024-01-07,18:45:00,北京
中石化加油站,280.00,2024-01-08,16:30:00,广州
京东商城,1299.00,2024-01-08,20:00:00,
爱奇艺会员,25.00,2024-01-09,10:00:00,深圳
麦当劳,32.50,2024-01-09,12:15:00,北京
地铁充值,100.00,2024-01-10,07:30:00,上海
万达影城,88.00,2024-01-10,19:30:00,北京
协和医院挂号,50.00,2024-01-11,09:00:00,北京
美团外卖,68.50,2024-01-11,12:00:00,杭州
优衣库,599.00,2024-01-12,15:30:00,深圳
滴滴专车,65.00,2024-01-12,22:15:00,北京
全家便利店,45.00,2024-01-13,08:00:00,上海
健身房年卡,2999.00,2024-01-13,11:00:00,北京
瑞幸咖啡,19.90,2024-01-14,08:30:00,广州
盒马鲜生,256.80,2024-01-14,17:45:00,深圳
中国国际航空,1580.00,2024-01-15,10:00:00,
必胜客,128.00,2024-01-15,12:30:00,北京
同仁堂药房,156.00,2024-01-16,14:00:00,上海
滴滴快车,32.00,2024-01-16,18:30:00,北京
天猫超市,189.50,2024-01-17,11:20:00,
肯德基,39.90,2024-01-17,12:15:00,成都
腾讯视频会员,30.00,2024-01-18,09:00:00,
海底捞,268.00,2024-01-18,19:00:00,上海
星巴克,42.00,2024-01-19,10:30:00,北京
京东超市,298.00,2024-01-19,16:45:00,广州
滴滴出行,25.50,2024-01-20,08:00:00,深圳
体检中心,899.00,2024-01-20,09:30:00,北京
喜茶,28.00,2024-01-21,14:00:00,上海
万达广场,1299.00,2024-01-21,16:30:00,北京
饿了么,45.80,2024-01-22,12:10:00,杭州
中石油,300.00,2024-01-22,15:20:00,成都
网易云音乐,15.00,2024-01-23,11:00:00,
真功夫,35.00,2024-01-23,12:30:00,北京
耐克专卖店,899.00,2024-01-24,14:15:00,上海
滴滴快车,22.00,2024-01-24,18:45:00,北京
电影院,78.00,2024-01-25,20:00:00,深圳
便利蜂,18.50,2024-01-25,07:30:00,北京
牙科诊所,500.00,2024-01-26,10:30:00,上海
呷哺呷哺,156.00,2024-01-26,12:30:00,北京
淘宝,459.00,2024-01-27,15:00:00,成都
滴滴专车,78.00,2024-01-27,23:30:00,北京
永辉超市,238.00,2024-01-28,11:20:00,上海
瑞幸咖啡,22.00,2024-01-28,09:15:00,北京
酒吧消费,588.00,2024-01-29,01:30:00,深圳
美团外卖,52.00,2024-01-29,12:00:00,杭州
医院药房,268.00,2024-01-30,14:30:00,北京
肯德基(上海店),48.00,2024-01-30,18:00:00,上海
星巴克(深圳店),38.00,2024-01-31,10:00:00,深圳
海底捞(杭州店),420.00,2024-01-31,19:30:00,杭州
